6,14,28,25,38,64,35,
8,12,23,21,32,53,25,
7,11,19,18,27,44,18,
6,10,17,15,23,36,13,
7,9,14,13,19,31,10,
7,9,13,11,16,25,11,
6,8,11,11,14,22,12,
6,9,10,10,12,18,9,
6,8,10,9,11,16,10,
6,9,11,11,9,14,11,
6,9,12,10,10,13,10,
6,9,11,11,10,13,11,
7,8,11,10,9,14,10,
6,8,11,9,10,14,12,
6,9,10,9,9,13,10,
5,8,11,8,10,13,11,
6,9,10,8,9,14,12,
6,8,9,9,9,12,12,
6,7,9,11,8,12,13,
7,7,9,10,9,16,11,
6,7,8,9,9,14,11,
6,7,9,8,9,12,12,
6,7,9,8,7,13,11,
6,8,14,11,14,28,12,
6,9,13,10,13,24,12,
6,10,17,11,16,20,13,
8,10,16,10,13,18,12,
6,10,15,9,12,19,11,
6,9,14,10,12,20,11,
5,10,12,9,13,17,10,
7,10,12,9,12,15,11,
6,10,12,12,11,20,11,
5,9,12,10,12,17,10,
5,10,13,11,11,15,11,
7,10,12,10,11,15,10,
7,9,11,9,10,17,13,
7,10,10,9,10,15,12,
6,9,12,9,10,16,10,
5,9,11,10,10,14,12,
7,8,12,10,9,15,12,
7,9,11,10,9,17,11,
6,8,12,9,8,16,10,
7,10,13,9,9,15,11,
6,9,12,9,8,13,11,
6,9,13,8,9,14,11,
7,8,12,10,11,13,12,
6,8,11,9,10,13,11,
6,8,10,9,9,15,10,
5,8,10,9,7,13,11,
7,8,10,9,9,13,12,
6,8,9,11,8,11,10,
6,8,8,11,9,11,11,
6,8,8,10,8,11,11,
7,7,7,8,9,11,12,
7,8,7,8,8,12,10,
7,8,8,8,11,19,13,
5,8,14,12,13,25,11,
6,10,19,11,12,21,11,
6,11,18,10,11,19,12,
6,10,15,10,12,21,11,
6,10,13,11,13,22,12,
6,9,13,11,14,19,12,
5,9,11,11,12,18,10,
5,8,11,11,12,20,11,
6,9,12,10,11,19,12,
7,10,13,11,11,17,13,
7,9,13,10,11,18,12,
7,9,12,9,11,21,10,
6,9,13,9,10,18,11,
7,10,12,10,10,17,11,
6,9,11,9,9,16,11,
7,9,12,9,9,15,11,
6,8,12,9,11,14,11,
6,9,12,10,9,15,11,
6,8,10,9,8,15,14,
7,8,11,8,9,13,12,
6,7,12,8,8,15,11,
7,8,10,8,10,14,11,
7,8,9,9,9,14,11,
6,8,9,8,8,12,12,
6,8,11,10,12,30,12,
6,9,17,13,15,31,10,
7,9,16,13,13,26,11,
6,10,14,11,13,22,11,
6,9,12,10,14,22,13,
6,9,11,9,13,20,11,
6,8,11,9,13,21,12,
6,9,10,10,11,18,11,
6,8,11,9,12,17,12,
7,8,12,10,12,22,11,
6,9,15,9,12,21,10,
6,10,15,8,10,18,10,
6,9,14,9,10,17,11,
6,9,13,9,9,17,10,
6,9,12,9,11,14,11,
6,9,10,9,10,14,11,
7,8,10,11,9,14,10,
6,8,13,9,9,14,10,
7,9,11,10,8,15,12,
6,9,10,9,8,14,10,