12,23,21,20,32,63,35,
9,19,18,17,27,52,25,
14,16,15,14,23,43,18,
9,14,14,13,19,36,13,
8,12,13,14,46,48,18,
16,17,22,23,71,41,14,
11,14,22,19,59,33,13,
10,13,19,17,49,28,10,
10,11,16,14,41,24,11,
7,10,14,12,34,20,12,
11,10,12,11,28,17,11,
7,8,11,9,24,15,13,
6,10,9,8,20,13,12,
8,9,8,8,17,12,11,
5,9,8,8,15,12,10,
9,8,8,7,13,12,12,
5,8,8,7,11,11,11,
7,8,8,7,10,11,12,
9,8,10,9,9,12,11,
5,8,11,8,9,12,12,
11,8,11,9,12,12,11,
6,12,19,16,35,19,12,
8,23,17,14,29,17,10,
12,19,14,11,25,14,12,
5,17,12,10,21,12,10,
10,19,10,9,18,12,11,
8,16,11,8,15,12,11,
8,14,10,8,13,12,12,
11,12,10,8,11,12,10,
13,12,13,9,12,13,12,
18,14,15,10,10,12,12,
14,13,13,9,13,11,10,
10,13,12,8,11,11,13,
10,13,10,9,12,11,11,
10,14,9,7,10,11,11,
8,13,10,8,12,12,11,
13,15,9,7,10,11,12,
9,14,8,7,9,13,11,
10,12,9,8,11,11,11,
15,15,11,8,9,12,10,
10,13,10,7,10,11,11,
10,15,10,9,10,12,13,
8,16,9,9,10,12,15,
10,15,10,8,12,13,11,
15,14,15,8,11,13,11,
10,12,14,19,61,47,16,
8,10,24,16,51,39,12,
14,10,30,14,42,32,11,
10,11,28,12,35,27,12,
8,9,23,10,29,23,10,
7,8,20,9,25,19,11,
5,8,17,8,21,17,13,
10,7,15,8,18,14,12,
6,9,16,18,26,15,13,
9,19,17,15,22,13,11,
6,22,15,13,19,11,11,
7,19,12,12,15,11,11,
9,17,11,10,14,13,12,
5,15,10,9,12,12,14,
6,13,9,8,10,13,12,
10,11,12,8,11,11,11,
19,13,12,8,10,12,12,
15,12,12,8,9,12,11,
13,13,12,8,8,14,12,
9,13,10,7,9,12,13,
16,12,9,8,12,12,11,
11,14,10,9,12,13,11,
8,13,13,8,11,13,13,
12,15,14,9,11,13,13,
9,12,19,21,72,41,13,
11,18,23,18,59,34,12,
14,16,20,15,49,29,12,
11,13,17,13,41,24,12,
9,12,15,13,34,21,10,
5,10,13,11,29,18,11,
5,9,11,10,24,15,11,
10,10,10,9,20,13,11,
6,9,9,8,18,11,11,
9,10,9,7,15,11,12,
5,9,9,7,13,12,11,
5,8,8,8,11,12,10,
10,8,7,9,10,12,11,
6,8,9,9,11,12,11,
8,9,13,8,11,12,13,
6,8,11,8,11,12,12,
6,9,13,16,33,20,11,
9,18,19,13,27,17,12,
7,22,16,12,23,14,11,
8,19,14,10,19,13,12,
9,17,12,9,17,12,12,
7,17,12,8,14,12,11,
14,14,10,8,12,13,12,
15,12,9,8,10,12,13,
12,13,13,7,10,12,11,
12,14,17,8,9,12,13,
14,14,16,9,11,13,15,
14,13,13,9,13,11,11,
9,11,12,7,11,13,4,
10,13,11,9,12,12,139,
13,13,9,8,10,12,0,
7,15,9,7,11,12,0,
9,13,8,9,10,12,8,
14,15,7,7,10,12,60,
8,12,8,8,11,12,64,
11,15,11,9,13,11,66,
13,15,11,8,12,13,0,
10,13,9,9,11,12,4,
10,15,12,9,12,13,233,
6,13,13,8,11,12,3,
11,13,17,16,57,44,204,
13,12,21,24,62,37,0,
9,11,23,21,52,31,10,
9,10,19,18,43,26,0,
10,8,17,15,36,22,53,
8,9,14,13,30,18,66,
10,8,12,11,25,16,255,
5,8,11,10,21,13,0,
6,8,9,9,24,17,35,
7,12,17,16,21,14,44,
6,22,15,14,18,13,0,