16,19,17,19,58,49,27,
14,17,15,26,49,41,19,
20,14,13,25,40,35,16,
15,12,11,24,34,29,17,
13,11,11,26,28,24,17,
16,9,9,22,24,20,18,
11,9,8,19,20,19,16,
12,9,9,16,17,19,15,
11,9,9,14,15,19,18,
18,9,12,17,17,19,16,
13,9,12,14,16,19,16,
12,9,10,13,14,18,16,
16,9,10,11,14,18,14,
11,8,8,10,11,18,17,
10,8,7,10,10,19,15,
10,9,11,22,93,63,22,
11,35,23,22,106,66,18,
15,35,19,18,88,54,17,
14,29,17,16,73,45,16,
21,24,16,13,61,37,15,
18,21,15,15,50,32,15,
13,18,13,14,42,26,16,
12,15,15,13,35,22,15,
19,13,16,16,29,19,16,
21,11,16,17,24,19,17,
22,10,15,17,20,22,17,
16,10,14,18,18,19,17,
10,10,12,20,15,19,16,
9,9,14,18,13,17,17,
15,10,14,22,67,38,16,
13,13,24,23,55,101,22,
13,20,20,20,51,88,20,
9,21,17,17,59,84,24,
9,18,15,15,69,76,17,
6,15,13,16,56,63,16,
9,13,11,14,47,52,18,
6,11,10,12,39,43,19,
5,10,9,11,33,36,15,
8,10,7,9,28,30,18,
14,11,8,9,23,25,15,
11,10,7,8,20,29,17,
10,8,9,9,17,25,17,
7,9,8,9,14,20,14,
9,8,7,11,15,43,19,
8,8,8,9,13,39,17,
9,8,7,8,11,33,15,
6,7,7,9,11,28,15,
5,8,8,9,12,23,16,
6,7,8,8,10,20,17,
7,8,8,9,10,17,15,
7,7,7,9,11,19,13,
5,7,7,9,12,20,16,
5,8,7,8,10,19,15,
7,7,8,8,10,19,15,
7,7,8,7,11,19,15,
6,7,7,9,11,18,17,
5,7,8,8,12,19,17,
6,8,8,13,35,89,23,
7,8,12,16,73,80,19,
8,11,11,14,61,66,17,
14,10,12,12,50,55,17,
12,10,11,10,42,45,17,
13,9,12,9,35,38,14,
16,10,11,9,29,32,14,
16,11,11,9,25,26,15,
14,9,12,10,20,23,18,
15,8,11,9,18,19,20,
21,9,11,10,15,19,14,
16,8,10,9,13,18,18,
12,8,10,10,11,19,15,
10,9,10,9,13,22,13,
9,9,10,8,11,19,14,
10,8,9,9,11,21,15,
14,9,10,8,11,18,16,
12,8,9,8,11,18,17,
8,9,9,9,11,19,14,
7,8,8,10,22,27,16,
7,7,10,15,25,23,19,
6,8,11,12,21,23,18,
10,9,11,12,18,21,15,
11,8,10,13,16,22,17,
9,7,9,12,16,22,16,
5,9,10,12,14,25,16,
5,8,9,11,12,21,14,
5,8,8,10,11,18,16,
7,8,7,9,11,19,17,
10,7,7,10,13,28,15,
9,7,8,10,19,51,17,
6,9,7,10,18,43,18,
4,8,8,9,19,41,17,
3,7,8,10,24,40,16,
5,8,8,10,26,34,15,
6,9,8,11,28,28,17,
7,7,7,10,23,24,18,
7,7,8,10,22,20,17,
7,7,7,10,20,18,18,
5,7,7,9,17,18,16,
5,8,7,8,15,18,4,
7,7,7,9,22,21,14,
7,8,8,11,27,22,0,
7,9,12,21,117,65,0,
6,8,12,18,98,54,3,
6,9,18,15,80,45,71,
6,8,19,14,66,38,64,
6,9,18,17,55,31,66,
6,8,17,20,46,26,0,
6,8,16,24,38,22,4,
7,8,17,25,32,19,5,
6,8,17,22,27,19,3,
6,8,18,19,23,18,204,
6,7,16,16,24,20,0,
6,7,15,14,21,18,7,
6,9,16,12,17,21,0,
6,7,14,10,15,19,47,
6,9,14,19,60,88,64,
4,9,14,16,50,73,26,
6,11,12,14,42,60,0,
9,10,11,12,35,50,35,
12,12,12,11,29,41,46,
16,11,10,12,24,35,0,