57,82,93,138,236,280,193,
53,73,82,119,199,236,140,
57,65,73,103,169,198,132,
57,62,63,90,144,168,127,
57,65,63,79,124,143,112,
56,57,67,70,108,132,126,
53,59,58,63,94,125,113,
53,59,52,72,95,138,130,
48,60,59,65,84,147,117,
50,60,61,74,88,133,126,
52,60,58,65,94,129,131,
49,60,60,66,89,120,135,
48,64,55,74,92,137,139,
54,58,56,66,88,144,122,
70,67,58,67,78,129,149,
284,812,748,339,187,290,133,
226,674,617,283,159,243,114,
151,558,510,237,136,205,109,
92,462,426,200,117,173,121,
46,384,353,169,102,147,154,
39,320,295,144,90,146,124,
41,268,248,127,104,125,144,
24,225,209,109,90,134,115,
59,191,177,93,93,129,128,
73,162,150,81,79,146,129,
71,139,129,72,95,133,125,
61,119,112,75,96,143,121,
55,104,96,77,92,136,139,
49,92,84,69,93,125,126,
51,80,75,75,95,137,129,