20,30,15,22,38,69,36,
17,25,13,19,32,57,25,
11,21,11,16,27,55,18,
17,18,10,14,22,51,14,
25,15,9,12,21,49,12,
20,13,9,14,20,51,12,
19,12,10,12,17,50,15,
23,12,8,11,20,49,13,
21,11,9,10,19,51,16,
20,11,9,12,19,43,13,
13,10,8,11,20,40,12,
21,13,9,14,20,47,13,
26,13,9,14,18,41,14,
20,11,8,15,19,44,14,
21,14,9,15,21,43,12,
29,13,9,13,23,40,13,
23,11,9,13,19,36,14,
21,12,9,11,21,35,14,
23,11,10,11,19,35,13,
22,12,10,12,20,45,12,
21,14,10,10,18,37,12,
13,12,8,11,18,38,12,
21,13,10,13,20,38,13,
28,14,10,11,24,32,13,
21,12,9,15,24,36,13,
21,11,10,13,31,30,11,
27,12,10,13,41,34,12,
22,14,8,12,34,58,15,
22,17,14,13,28,48,12,
21,38,12,12,24,43,14,
25,40,12,10,23,52,14,
16,34,10,11,20,68,14,
12,28,10,10,23,56,15,
11,24,9,11,23,64,16,
7,20,9,11,22,66,15,
7,17,8,10,26,58,17,
10,14,8,9,31,57,15,
7,17,11,13,27,69,17,
9,15,12,12,27,68,13,
7,13,10,10,31,56,15,
10,13,9,12,29,47,13,
13,12,9,11,28,48,13,
18,11,8,10,24,42,14,
14,10,8,8,20,35,13,
12,12,8,7,17,32,12,
18,16,8,10,14,31,15,
13,13,9,16,24,42,14,
14,18,12,18,30,65,12,
18,16,12,21,28,54,15,
13,13,11,18,25,45,12,
14,13,9,17,25,38,11,
12,12,8,14,23,31,12,
16,10,9,14,25,41,11,
11,10,9,14,26,37,12,
12,11,9,12,27,37,12,
21,10,12,12,32,31,10,
16,10,10,10,27,28,11,
16,12,12,9,23,29,12,
21,13,11,8,19,33,12,
17,13,13,10,16,29,11,
19,11,11,9,14,25,13,
12,12,9,8,12,24,11,
20,13,9,8,11,30,11,
20,14,9,9,15,47,12,
14,12,8,16,22,55,17,
14,13,12,17,24,45,13,
13,29,10,15,20,38,11,
15,30,9,13,17,32,13,
15,26,8,11,15,26,10,
9,22,7,9,13,22,11,
10,18,7,8,11,24,11,
16,16,7,8,11,23,10,
9,13,7,7,12,25,11,
17,11,8,8,11,25,11,
14,10,9,17,28,35,13,
10,11,12,16,30,51,14,
6,12,12,21,26,42,13,
13,10,11,17,26,38,13,
12,10,10,17,22,32,13,
12,9,8,14,22,29,11,
12,10,9,14,28,41,13,
20,11,8,13,25,34,12,
15,9,8,11,25,41,12,
15,10,11,10,28,34,11,
21,11,10,10,27,35,13,
17,10,9,9,23,29,11,
17,14,13,11,19,31,12,
12,12,12,10,17,57,14,
18,13,10,9,14,47,10,
25,14,9,10,12,39,13,
18,13,8,9,12,32,12,
18,16,9,9,15,48,14,
23,15,9,10,22,39,13,
18,13,8,14,19,35,11,
16,16,10,12,17,32,11,
12,14,9,10,14,27,11,
12,15,8,9,12,23,12,
14,13,9,8,12,22,12,
14,11,8,7,12,20,12,
12,10,7,8,11,20,11,