13,21,18,24,49,69,35,
10,18,15,20,41,57,25,
7,15,13,17,34,47,18,
13,13,12,15,29,39,13,
9,12,13,13,24,33,10,
8,15,12,11,21,27,11,
14,13,12,11,17,23,12,
9,11,11,10,15,21,11,
8,14,10,12,13,22,11,
13,13,11,15,11,22,10,
8,11,10,15,10,20,11,
7,13,11,13,9,18,11,
12,12,10,11,9,20,11,
7,13,10,10,8,17,11,
8,13,12,10,7,14,11,
10,11,11,9,7,13,10,
7,12,10,9,7,12,11,
11,13,9,8,7,12,11,
8,12,8,7,9,11,9,
7,14,10,13,26,67,12,
7,16,20,11,24,56,11,
13,20,17,10,22,46,11,
8,17,14,9,19,38,11,
12,15,12,8,16,32,11,
21,13,11,7,14,27,13,
20,11,10,7,12,23,11,
16,10,8,9,10,19,10,
17,9,7,7,9,16,11,
15,8,7,8,8,14,11,
14,8,7,8,8,12,10,
15,9,7,7,7,11,12,
16,9,6,7,8,12,10,
15,8,7,8,9,11,11,
17,8,7,7,8,11,12,
21,9,6,6,7,12,11,
19,8,7,7,7,10,11,
16,8,7,8,9,11,11,
15,8,7,7,8,12,11,
14,8,6,7,7,11,11,
15,9,6,7,7,11,10,
14,8,7,8,7,13,12,
14,9,7,8,12,25,14,
15,8,8,12,14,23,12,
16,8,9,13,14,27,12,
22,11,12,11,17,27,12,
21,10,11,10,14,22,12,
17,11,9,9,13,19,11,
16,10,9,9,12,18,11,
15,9,10,10,13,19,12,
15,9,10,8,16,20,12,
14,10,9,7,14,17,11,
14,9,8,7,12,25,11,
13,11,7,7,10,28,12,
15,10,7,7,10,27,13,
20,9,7,8,10,26,11,
20,9,6,7,10,24,12,
15,9,7,7,9,21,10,
14,8,6,7,8,17,11,
13,8,7,7,8,15,10,
13,9,7,7,7,13,11,
13,8,7,12,16,37,16,
14,9,7,14,17,35,12,
14,8,10,16,33,39,15,
15,8,9,27,28,41,13,
18,8,8,23,23,34,10,
18,9,10,19,20,28,11,
14,9,9,16,17,24,10,
13,10,9,14,14,20,11,
13,9,8,12,17,21,11,
13,8,7,11,19,23,10,
12,8,8,11,22,29,10,
12,8,8,10,23,26,11,
12,8,8,9,24,23,11,
13,10,8,9,21,21,10,
18,8,7,8,21,22,11,
17,10,8,10,26,23,10,
12,9,8,9,27,19,11,
12,8,8,9,28,18,11,
12,10,8,8,28,20,11,
10,9,9,9,25,20,10,
10,9,8,8,21,20,10,
12,11,17,15,34,75,16,
10,20,16,13,29,62,12,
14,17,13,12,24,51,11,
13,15,11,11,20,43,11,
13,13,10,12,24,35,11,
17,11,9,12,26,31,11,
13,10,8,12,21,27,11,
14,10,8,11,19,27,11,
13,9,7,11,16,27,10,
12,10,7,11,13,26,10,
12,10,7,9,13,22,11,
11,10,7,9,13,19,10,
10,10,7,9,17,17,10,
10,10,7,8,20,20,11,
9,10,8,8,17,17,10,
9,8,7,7,14,15,10,
9,9,7,7,12,12,12,
7,10,7,7,11,11,11,
7,10,7,7,9,12,11,