1,0,0,74,120,155,249,521,1008,570,29.68,32.59,24.55,14.96,10.93,6.38,20.38,
9,0,0,59,103,135,220,460,1013,529,11.77,12.74,10.74,9.79,8.55,6.03,22.82,
17,0,0,55,99,133,209,434,1010,501,12.73,11.80,11.86,9.32,10.41,5.18,20.66,
25,0,0,59,99,128,201,409,1010,468,9.72,12.43,11.33,10.57,10.78,5.06,17.81,
33,0,0,58,99,125,191,380,1012,431,11.25,12.06,11.22,10.78,8.63,4.44,15.29,
41,0,0,60,97,122,182,364,1011,397,8.89,11.34,10.49,11.20,9.26,4.60,20.01,
49,0,0,56,95,118,171,338,1010,374,10.80,11.68,10.91,9.64,10.09,4.51,20.21,
57,0,0,56,91,114,164,308,1011,342,8.24,11.18,11.93,9.25,7.76,3.86,14.52,
65,0,0,53,89,112,155,284,1008,309,9.50,10.71,11.63,10.39,7.48,4.10,14.29,
73,0,0,53,87,104,144,259,1007,268,8.90,10.79,9.91,10.41,7.17,4.05,13.26,
81,0,0,57,87,101,135,237,997,242,7.45,10.46,11.00,10.43,10.11,3.98,15.06,
89,0,0,55,83,97,122,195,970,215,8.31,10.76,11.39,10.31,10.39,11.17,13.35,
97,0,0,57,83,92,111,176,862,191,6.90,12.05,11.89,12.30,11.70,13.14,13.28,
105,0,0,58,83,88,102,137,656,160,9.43,13.42,13.23,11.82,12.70,20.53,11.95,
113,0,0,60,85,89,95,124,446,138,9.59,17.59,15.45,12.51,12.64,21.15,11.15,
121,0,0,61,83,87,94,109,243,125,9.43,15.42,18.14,16.69,11.92,24.70,11.66,
1,0,8,154,207,242,321,569,1006,561,230.13,230.00,217.43,191.88,119.62,8.61,28.56,
9,0,8,59,103,141,218,463,1011,530,12.32,11.10,11.68,10.37,10.17,5.41,21.44,
17,0,8,61,101,135,207,433,1011,491,12.27,12.19,12.70,9.52,7.55,5.30,21.66,
25,0,8,59,101,131,204,408,1011,461,11.19,11.87,12.20,11.19,9.26,5.29,16.89,
33,0,8,59,97,130,191,385,1011,429,10.26,11.13,11.48,11.10,9.81,4.41,15.54,
41,0,8,59,97,120,184,358,1009,398,9.83,11.51,10.28,9.94,8.35,5.30,17.86,
49,0,8,56,94,117,171,341,1010,371,8.16,10.55,10.89,8.89,10.06,4.57,16.86,
57,0,8,60,92,113,164,310,1010,342,8.33,10.76,11.19,9.22,7.11,3.71,14.09,
65,0,8,59,91,109,158,291,1008,306,8.13,10.54,10.87,9.62,9.13,3.93,16.20,
73,0,8,56,89,106,145,263,1007,268,7.62,10.10,10.12,9.60,8.60,3.72,13.67,
81,0,8,58,86,102,135,230,998,240,6.93,10.41,11.08,8.90,8.44,4.05,11.65,
89,0,8,57,85,97,128,208,973,210,7.29,9.98,10.54,9.66,10.25,9.90,12.26,
97,0,8,60,82,92,115,173,859,190,6.69,11.52,12.45,11.01,10.71,13.08,10.78,
105,0,8,60,83,90,105,152,659,160,7.59,13.99,13.46,13.51,12.38,20.85,14.33,
113,0,8,63,82,89,94,124,446,133,8.57,15.71,16.45,12.54,10.83,21.84,11.59,
121,0,8,61,81,84,91,107,242,124,8.49,15.51,15.62,12.15,11.34,24.03,11.50,
1,0,16,141,187,225,312,557,1005,563,209.69,204.25,192.95,168.30,103.36,7.59,33.37,
9,0,16,58,104,140,222,461,1010,535,12.40,11.37,12.84,12.13,8.32,5.00,19.95,
17,0,16,61,100,134,211,428,1010,502,10.06,10.75,12.89,11.30,7.74,5.51,18.95,
25,0,16,59,100,132,202,405,1010,462,11.02,11.33,12.98,10.23,7.27,5.35,17.26,
33,0,16,59,99,127,193,385,1009,430,10.30,10.93,10.41,9.87,8.87,5.33,17.24,
41,0,16,58,97,125,183,359,1010,400,9.23,11.59,10.42,9.40,8.38,4.09,16.39,
49,0,16,58,91,118,175,338,1010,366,9.08,9.28,10.31,9.97,8.19,4.56,17.94,
57,0,16,58,93,114,162,316,1010,333,9.12,10.03,10.19,8.59,8.89,4.45,15.23,
65,0,16,59,91,112,156,286,1008,297,8.68,10.27,12.18,8.46,6.95,4.04,16.57,
73,0,16,59,88,105,146,262,1006,263,8.58,10.63,10.81,9.84,8.26,4.37,15.10,
81,0,16,57,88,103,138,236,1001,238,7.76,9.82,10.88,8.56,8.72,3.60,13.87,
89,0,16,59,86,98,128,208,976,207,8.26,10.69,10.03,9.68,9.11,9.07,12.24,
97,0,16,59,83,93,115,181,861,191,7.60,11.49,11.89,11.63,10.44,12.85,12.04,
105,0,16,60,82,91,103,152,659,156,8.47,13.78,13.30,11.13,10.85,20.71,13.27,
113,0,16,61,83,88,96,123,445,137,8.48,15.58,15.15,12.96,9.68,21.64,12.22,
121,0,16,65,82,84,90,106,238,124,8.61,16.20,17.60,14.72,12.62,26.84,11.74,
1,0,24,136,181,221,306,552,1008,550,193.58,186.86,176.29,154.69,93.69,7.09,20.35,
9,0,24,59,104,141,221,463,1012,537,11.78,12.19,12.11,9.23,9.03,5.69,19.70,
17,0,24,61,103,133,212,439,1012,501,11.59,10.82,10.80,10.36,7.85,5.55,19.49,
25,0,24,59,99,131,201,409,1010,461,10.04,11.71,12.39,9.74,7.70,5.45,17.71,
33,0,24,59,98,130,192,389,1011,433,10.58,11.19,10.97,10.35,10.78,4.30,16.09,
41,0,24,57,97,122,183,363,1011,401,9.96,11.03,10.93,9.30,8.47,5.56,18.13,
49,0,24,56,96,119,175,334,1009,364,9.00,10.53,11.16,9.89,7.36,3.86,18.15,
57,0,24,59,94,116,163,314,1009,339,8.23,11.53,10.83,9.48,7.86,4.10,15.67,
65,0,24,59,90,113,159,287,1008,301,8.39,10.22,12.04,9.30,7.54,3.63,15.71,
73,0,24,56,88,108,148,264,1006,265,7.78,9.86,11.02,9.72,7.64,3.70,12.45,
81,0,24,57,90,104,140,239,1001,236,7.25,10.51,10.59,10.44,8.85,4.78,14.38,
89,0,24,55,86,101,129,208,979,206,7.36,10.48,11.01,8.73,9.27,7.00,12.36,
97,0,24,60,84,93,117,170,861,187,7.22,11.06,10.71,10.11,9.28,12.68,12.56,
105,0,24,60,81,90,104,155,660,160,7.10,13.88,13.06,11.32,10.75,20.92,14.25,
113,0,24,61,82,84,99,125,444,132,7.83,15.89,13.82,13.42,11.65,22.95,11.60,
121,0,24,63,80,84,92,103,237,118,7.13,17.11,16.60,15.76,10.72,23.13,11.52,
1,0,32,128,180,220,305,555,1003,553,176.65,182.80,174.25,151.53,92.55,7.87,22.97,
9,0,32,59,104,140,223,465,1008,533,12.20,12.42,10.25,9.32,7.95,6.06,19.90,
17,0,32,58,100,136,213,438,1007,493,10.89,11.03,11.43,9.19,7.94,5.91,20.29,
25,0,32,60,103,130,203,410,1008,465,10.31,11.54,10.75,9.24,8.17,5.86,15.46,
