1,0,0,164,255,406,830,1004,1008,403,180.98,169.15,127.70,36.86,10.21,12.38,30.07,
9,0,0,84,177,327,749,1008,1003,348,14.77,11.39,11.70,8.39,8.87,12.90,19.57,
17,0,0,82,175,306,703,1005,1001,330,13.91,11.29,11.80,10.83,9.10,11.58,16.98,
25,0,0,78,164,291,655,1006,1002,319,13.64,11.26,11.08,10.09,10.48,12.43,14.75,
33,0,0,77,155,274,611,1006,1000,304,13.23,10.88,9.98,9.98,9.13,11.84,17.04,
41,0,0,77,150,257,566,1007,1002,276,13.37,10.95,11.52,9.61,9.70,13.10,14.40,
49,0,0,74,144,241,521,1006,1013,251,13.59,12.37,10.77,8.87,9.67,3.66,12.28,
57,0,0,65,135,223,464,1012,776,238,17.92,12.41,12.36,9.61,6.32,48.86,11.96,
65,0,0,58,128,204,420,1014,622,214,18.84,11.95,11.99,9.49,5.64,57.35,15.90,
73,0,0,57,121,187,379,1015,505,194,18.50,12.79,10.72,10.54,6.24,13.59,15.08,
81,0,0,61,116,170,336,1013,431,178,15.89,12.91,12.51,11.22,5.17,7.29,11.56,
89,0,0,60,109,154,291,1014,360,155,14.69,13.80,12.59,10.90,4.87,6.08,9.82,
97,0,0,59,104,140,251,1011,299,132,14.92,13.18,14.00,12.23,4.17,8.83,12.49,
105,0,0,59,97,129,206,1000,246,117,12.12,14.62,14.07,11.26,5.56,7.84,12.62,
113,0,0,62,95,114,161,866,198,117,11.34,16.91,17.97,11.21,15.13,7.53,12.44,
121,0,0,64,90,103,131,486,142,116,11.05,16.34,16.27,13.48,45.80,8.47,11.37,
1,0,8,150,247,398,821,1007,1004,388,160.96,150.09,114.18,29.23,12.50,11.96,33.84,
9,0,8,87,177,328,751,1008,1004,352,13.67,11.81,10.82,9.95,10.27,10.71,20.05,
17,0,8,85,171,308,703,1007,1001,338,11.58,11.82,11.98,11.17,10.43,13.14,14.86,
25,0,8,81,163,290,657,1009,1002,316,14.22,11.45,11.12,11.15,8.46,13.65,13.88,
33,0,8,79,154,275,611,1007,1001,300,14.94,11.70,11.01,9.52,8.54,13.81,15.30,
41,0,8,79,152,259,567,1008,1003,274,12.73,13.01,11.72,11.45,10.49,12.91,12.77,
49,0,8,77,144,242,523,1006,1012,250,12.33,11.00,11.78,9.52,10.64,3.27,11.57,
57,0,8,63,135,220,466,1011,771,234,18.11,12.19,11.55,9.56,6.05,46.98,13.41,
65,0,8,60,128,204,423,1015,617,216,17.14,12.06,10.79,10.22,5.06,51.05,13.13,
73,0,8,60,121,188,381,1013,500,198,17.01,12.61,11.10,9.29,5.57,12.18,14.75,
81,0,8,59,115,172,334,1012,428,183,16.30,13.62,12.68,8.97,5.61,7.90,10.68,
89,0,8,62,110,159,292,1013,359,152,14.43,14.54,13.13,11.54,5.04,6.76,8.60,
97,0,8,58,105,143,245,1011,299,140,12.88,14.81,14.24,9.65,4.19,9.74,12.56,
105,0,8,61,97,125,202,1003,256,119,10.83,13.80,12.87,7.64,4.28,10.94,12.90,
113,0,8,65,93,111,162,868,198,123,10.76,16.26,15.43,11.48,14.81,7.04,13.00,
121,0,8,63,89,104,126,483,146,123,10.07,15.91,16.62,11.98,45.53,11.49,11.22,
1,0,16,145,239,389,817,1005,1004,383,147.08,132.28,99.52,25.86,10.57,12.32,28.51,
9,0,16,86,177,327,752,1006,1003,357,12.61,11.74,12.48,9.93,10.14,13.35,15.15,
17,0,16,83,170,309,707,1005,1002,337,13.02,11.32,11.11,9.70,9.58,12.10,15.75,
25,0,16,78,163,293,661,1008,1000,319,13.94,12.27,13.14,9.25,8.66,13.33,16.32,
33,0,16,79,156,273,609,1007,1001,298,13.96,10.80,10.72,8.25,8.19,13.15,12.63,
41,0,16,78,151,258,564,1007,1000,275,12.92,11.98,11.37,8.82,9.80,14.96,15.46,
49,0,16,75,145,246,522,1007,1013,254,12.50,11.85,12.17,9.72,10.19,3.09,12.26,
57,0,16,63,135,223,470,1013,765,232,17.34,11.94,11.60,10.31,5.99,43.02,11.24,
65,0,16,60,128,205,425,1013,613,215,17.15,11.78,10.81,9.35,5.51,48.12,17.52,
73,0,16,61,121,186,377,1012,502,202,16.77,11.01,10.95,7.18,5.53,19.57,14.41,
81,0,16,58,113,173,337,1013,428,179,15.56,12.23,12.81,10.23,6.16,8.09,11.51,
89,0,16,59,109,155,292,1011,363,154,16.00,13.09,11.99,9.67,5.00,10.46,9.19,
97,0,16,60,103,140,248,1011,299,130,13.30,14.10,12.53,10.75,4.89,9.23,11.79,
105,0,16,61,96,125,202,1002,257,127,9.79,14.32,12.50,8.45,4.27,12.05,12.80,
113,0,16,62,95,110,162,869,199,127,11.19,17.35,13.94,10.25,14.50,12.01,12.97,
121,0,16,65,89,108,126,485,141,123,9.77,17.31,16.41,10.78,45.87,8.62,11.25,
1,0,24,139,238,389,817,1000,1003,392,128.64,129.68,95.65,23.42,11.49,13.51,31.91,
9,0,24,80,178,333,753,1004,1005,351,12.97,11.49,13.00,9.68,9.85,12.49,17.97,
17,0,24,82,171,309,705,1008,1002,333,13.09,11.69,10.33,9.20,8.75,14.09,17.04,
25,0,24,80,162,291,661,1005,1001,317,12.16,11.58,11.65,9.79,8.99,13.38,14.50,
33,0,24,78,156,276,612,1009,997,303,11.94,11.18,10.58,8.27,8.17,13.26,17.33,
41,0,24,75,152,259,565,1007,998,272,11.84,11.33,10.66,10.41,9.81,14.33,14.38,
49,0,24,73,145,242,522,1008,1013,252,12.97,11.07,11.29,10.37,10.23,3.05,11.86,
57,0,24,61,135,221,468,1011,765,230,18.34,11.58,10.17,7.84,7.35,38.95,12.09,
65,0,24,59,128,208,427,1014,607,212,17.15,11.54,11.02,10.96,6.03,43.38,16.23,
73,0,24,58,121,188,383,1011,497,205,16.26,11.60,11.42,11.08,5.66,14.84,11.79,
81,0,24,58,115,175,338,1012,426,180,15.24,12.69,12.38,9.55,5.77,8.27,10.30,
89,0,24,54,111,160,292,1013,360,158,14.73,12.98,12.26,9.30,4.72,7.64,13.29,
97,0,24,58,104,144,251,1013,303,132,12.38,15.05,13.21,11.44,4.42,7.95,11.06,
105,0,24,61,100,128,204,1004,251,127,11.38,14.96,13.01,7.88,2.86,7.70,13.54,
113,0,24,61,93,112,160,871,198,133,9.65,15.72,13.49,9.91,14.13,10.94,12.94,
121,0,24,61,88,100,125,482,137,126,9.83,16.76,14.77,9.87,46.42,9.67,11.62,
1,0,32,135,230,381,813,1004,1005,396,120.77,106.80,76.73,15.42,10.80,12.75,31.81,
9,0,32,83,178,330,756,1008,1003,356,13.40,11.40,10.55,9.61,9.95,12.03,18.36,
17,0,32,83,171,311,707,1006,1003,332,12.44,11.78,11.76,10.17,9.39,12.38,15.77,
25,0,32,78,163,295,661,1010,1001,317,11.95,10.65,11.01,10.47,9.05,12.38,17.94,
33,0,32,75,159,277,608,1007,999,301,14.21,11.55,11.44,6.01,8.56,13.63,18.41,
41,0,32,75,152,260,571,1008,998,275,13.84,11.56,10.95,11.10,9.46,14.19,14.86,
49,0,32,74,146,244,524,1006,1013,249,12.33,11.96,11.19,8.89,10.12,3.10,10.83,
57,0,32,64,138,223,472,1010,762,227,17.35,11.90,11.30,8.87,6.60,37.32,11.91,
65,0,32,62,130,207,426,1013,607,212,19.44,11.15,9.98,9.90,7.29,41.08,15.93,
73,0,32,56,121,190,383,1009,495,208,18.57,11.85,10.57,9.06,6.61,10.95,12.83,
81,0,32,56,116,172,337,1012,427,176,16.01,13.02,11.42,8.79,5.28,11.93,11.19,
89,0,32,57,113,159,298,1012,359,154,14.15,14.52,12.75,11.69,5.00,6.98,10.20,
97,0,32,58,105,139,245,1011,308,135,12.68,14.07,11.82,7.66,4.57,8.03,10.28,
105,0,32,60,97,124,204,1005,253,129,10.50,14.39,12.31,7.50,2.65,7.34,13.40,
113,0,32,62,93,113,164,871,193,119,10.43,17.12,16.46,11.82,14.15,6.44,12.98,
121,0,32,61,92,107,132,491,140,121,9.75,17.25,16.18,14.70,42.93,7.94,10.22,
1,25,0,154,250,400,825,1005,1006,386,170.30,166.17,125.80,35.66,11.50,12.68,37.02,
9,25,0,84,174,326,745,1007,1006,346,14.10,11.57,11.04,9.70,9.15,12.38,18.68,
17,25,0,82,168,306,698,1007,1004,334,13.81,10.48,11.06,8.38,8.90,13.19,15.19,
25,25,0,78,162,290,657,1008,1000,319,14.39,11.29,11.90,9.83,8.96,13.21,13.69,
33,25,0,76,158,272,612,1004,1001,305,14.56,12.48,11.35,9.06,8.07,13.23,14.52,
41,25,0,75,153,257,567,1004,1003,280,13.46,10.81,11.61,10.24,10.31,13.78,12.63,
49,25,0,73,147,242,522,1006,1014,255,13.12,12.95,12.20,8.68,10.42,2.77,10.26,
57,25,0,65,133,222,462,1014,773,238,19.15,11.30,11.33,9.38,6.37,50.21,11.29,
65,25,0,59,128,204,424,1014,621,217,17.95,11.48,11.41,10.11,5.54,57.39,15.32,
73,25,0,59,121,188,383,1013,500,195,18.37,12.32,11.29,10.66,5.70,13.57,14.66,
81,25,0,58,115,172,335,1012,430,183,16.32,12.63,12.71,11.96,5.38,7.20,9.34,
89,25,0,61,110,157,290,1012,359,156,14.05,13.34,13.66,10.50,4.57,6.10,11.01,
97,25,0,60,103,141,251,1011,296,130,13.80,14.64,13.68,12.73,4.62,11.37,10.85,
105,25,0,58,96,125,200,998,249,123,11.73,14.80,14.09,7.64,5.91,7.91,14.99,
