1,0,0,99,181,881,224,188,195,176,77.61,53.01,71.75,60.21,63.43,60.04,30.66,
9,0,0,67,156,892,167,135,155,155,18.70,11.59,27.15,13.71,12.47,14.89,18.05,
17,0,0,61,149,860,154,130,142,141,19.14,9.52,33.25,13.73,12.16,14.78,17.05,
25,0,0,59,150,813,154,120,139,134,20.07,12.12,39.95,13.04,11.66,13.17,14.15,
33,0,0,60,143,758,143,124,130,128,23.50,14.30,45.01,10.98,9.15,9.52,10.85,
41,0,0,58,128,706,126,107,111,111,18.54,7.71,50.07,7.15,10.87,13.71,14.29,
49,0,0,61,129,653,133,107,105,111,18.91,11.15,53.21,10.74,11.87,11.89,13.26,
57,0,0,57,128,597,125,108,107,111,18.19,12.90,57.00,11.27,12.79,11.68,15.60,
65,0,0,59,116,542,108,105,104,111,16.98,10.08,57.07,11.45,12.61,14.07,16.01,
73,0,0,59,107,483,113,102,104,109,15.61,8.94,57.10,11.66,12.80,14.47,14.40,
81,0,0,58,108,422,111,98,97,108,14.82,12.89,56.57,13.50,9.28,11.24,18.74,
89,0,0,59,101,359,107,100,99,112,12.86,11.53,56.99,14.43,12.03,11.23,18.27,
97,0,0,60,94,291,103,100,100,106,10.89,13.38,52.82,17.61,12.60,11.60,20.54,
105,0,0,57,92,222,105,99,97,110,10.47,13.02,46.55,17.75,13.36,11.54,18.06,
113,0,0,58,85,157,92,99,95,113,12.31,13.80,20.02,13.01,13.36,12.73,18.78,
121,0,0,60,81,120,88,96,98,120,10.26,11.47,13.04,10.27,11.71,11.80,16.81,
1,0,8,174,260,885,289,256,247,169,248.48,229.62,83.69,220.85,242.45,246.07,69.65,
9,0,8,66,155,897,164,128,126,130,19.54,12.92,21.97,12.19,12.46,13.42,14.84,
17,0,8,62,143,863,151,122,121,124,19.16,6.59,29.27,12.20,15.42,15.40,17.38,
25,0,8,60,145,818,146,114,112,122,18.71,10.21,33.64,10.50,10.64,10.89,14.46,
33,0,8,62,143,766,140,114,112,121,19.17,12.14,39.00,10.05,11.67,12.42,13.16,
41,0,8,61,130,715,123,109,110,120,17.73,8.31,42.86,6.83,11.74,11.42,13.36,
49,0,8,58,132,659,126,111,106,113,18.89,11.17,47.65,8.17,13.11,10.89,12.75,
57,0,8,59,126,603,118,108,103,113,17.75,10.38,50.20,9.09,11.99,10.96,13.14,
65,0,8,60,118,547,113,107,99,111,16.06,9.83,51.87,9.87,12.44,9.82,16.15,
73,0,8,62,118,493,121,100,101,111,15.84,12.57,49.82,11.07,9.50,9.78,14.10,
81,0,8,63,111,432,114,103,102,106,12.47,12.84,52.55,11.72,12.68,12.03,16.90,
